"NPI","Resource ID","Name","References List"
"9995334207","PractitionerRole/vhdir-practitionerrole-9995334207-0","Ernesto Valencia","9999177926"
"9995334207","PractitionerRole/vhdir-practitionerrole-9995334207-1","Ernesto Valencia","HPID060000"
"9990283779","PractitionerRole/vhdir-practitionerrole-9990283779-0","Vicente Luevano","9999177926"
"9990283779","PractitionerRole/vhdir-practitionerrole-9990283779-1","Vicente Luevano","9995338232"
"9990283779","PractitionerRole/vhdir-practitionerrole-9990283779-2","Vicente Luevano","HPID060000"
"9990283779","PractitionerRole/vhdir-practitionerrole-9990283779-3","Vicente Luevano","HPID040000"
"9992607917","PractitionerRole/vhdir-practitionerrole-9992607917-0","Jake Stanton","9998062387"
"9992607917","PractitionerRole/vhdir-practitionerrole-9992607917-1","Jake Stanton","HPID020000"
"9992607917","PractitionerRole/vhdir-practitionerrole-9992607917-2","Jake Stanton","HPID030000"
"9996940463","PractitionerRole/vhdir-practitionerrole-9996940463-0","Waldo Greenholt","9999177926"
"9996940463","PractitionerRole/vhdir-practitionerrole-9996940463-1","Waldo Greenholt","9995338232"
"9996940463","PractitionerRole/vhdir-practitionerrole-9996940463-2","Waldo Greenholt","9995131442"
"9996940463","PractitionerRole/vhdir-practitionerrole-9996940463-3","Waldo Greenholt","HPID050000"
"9993011061","PractitionerRole/vhdir-practitionerrole-9993011061-0","Jarred Durgan","9998864828"
"9993011061","PractitionerRole/vhdir-practitionerrole-9993011061-1","Jarred Durgan","9991892344"
"9993011061","PractitionerRole/vhdir-practitionerrole-9993011061-2","Jarred Durgan","9992307530"
"9993011061","PractitionerRole/vhdir-practitionerrole-9993011061-3","Jarred Durgan","HPID020000"
"9993011061","PractitionerRole/vhdir-practitionerrole-9993011061-4","Jarred Durgan","HPID030000"
"9993011061","PractitionerRole/vhdir-practitionerrole-9993011061-5","Jarred Durgan","HPID010000"
"9998667539","PractitionerRole/vhdir-practitionerrole-9998667539-0","Danial Von","9991692366"
"9998667539","PractitionerRole/vhdir-practitionerrole-9998667539-1","Danial Von","9998062387"
"9998667539","PractitionerRole/vhdir-practitionerrole-9998667539-2","Danial Von","9999670259"
"9998667539","PractitionerRole/vhdir-practitionerrole-9998667539-3","Danial Von","HPID020000"
"9992001940","PractitionerRole/vhdir-practitionerrole-9992001940-0","Amado Padberg","9999177926"
"9992001940","PractitionerRole/vhdir-practitionerrole-9992001940-1","Amado Padberg","9995338232"
"9992001940","PractitionerRole/vhdir-practitionerrole-9992001940-2","Amado Padberg","HPID060000"
"9992001940","PractitionerRole/vhdir-practitionerrole-9992001940-3","Amado Padberg","HPID040000"
"9992001940","PractitionerRole/vhdir-practitionerrole-9992001940-4","Amado Padberg","HPID050000"
"9990980735","PractitionerRole/vhdir-practitionerrole-9990980735-0","Marco Antonio Ureña","9999177926"
"9990980735","PractitionerRole/vhdir-practitionerrole-9990980735-1","Marco Antonio Ureña","9995338232"
"9990980735","PractitionerRole/vhdir-practitionerrole-9990980735-2","Marco Antonio Ureña","HPID040000"
"9995233261","PractitionerRole/vhdir-practitionerrole-9995233261-0","Rich Reichert","9995731321"
"9995233261","PractitionerRole/vhdir-practitionerrole-9995233261-1","Rich Reichert","HPID080000"
"9995233261","PractitionerRole/vhdir-practitionerrole-9995233261-2","Rich Reichert","HPID070000"
