"NPI","Resource ID","Name","References List"
"vhdir-organizationrole-9992607537-0","OrganizationAffiliation/vhdir-organizationrole-9992607537-0","MA Bronze Plan PPO"
"vhdir-organizationrole-9992607537-1","OrganizationAffiliation/vhdir-organizationrole-9992607537-1","MA Bronze HSA HMO"
"vhdir-organizationrole-9992607537-2","OrganizationAffiliation/vhdir-organizationrole-9992607537-2","MA Silver 70 PPO"
"vhdir-organizationrole-9995131442-0","OrganizationAffiliation/vhdir-organizationrole-9995131442-0","CT Bronze Plan PPO"
"vhdir-organizationrole-9995131442-1","OrganizationAffiliation/vhdir-organizationrole-9995131442-1","CT Bronze HSA HMO"
"vhdir-organizationrole-9995131442-2","OrganizationAffiliation/vhdir-organizationrole-9995131442-2","CT Silver 70 PPO"
"vhdir-organizationrole-9990789741-0","OrganizationAffiliation/vhdir-organizationrole-9990789741-0","MA Bronze Plan PPO"
"vhdir-organizationrole-9990789741-1","OrganizationAffiliation/vhdir-organizationrole-9990789741-1","MA Bronze HSA HMO"
"vhdir-organizationrole-9990789741-2","OrganizationAffiliation/vhdir-organizationrole-9990789741-2","MA Silver 70 PPO"
"vhdir-organizationrole-9998062387-0","OrganizationAffiliation/vhdir-organizationrole-9998062387-0","MA Bronze Plan PPO"
"vhdir-organizationrole-9998062387-1","OrganizationAffiliation/vhdir-organizationrole-9998062387-1","MA Bronze HSA HMO"
"vhdir-organizationrole-9998062387-2","OrganizationAffiliation/vhdir-organizationrole-9998062387-2","MA Silver 70 PPO"
"vhdir-organizationrole-9990780047-0","OrganizationAffiliation/vhdir-organizationrole-9990780047-0","MA Bronze Plan PPO"
"vhdir-organizationrole-9990780047-1","OrganizationAffiliation/vhdir-organizationrole-9990780047-1","MA Bronze HSA HMO"
"vhdir-organizationrole-9990780047-2","OrganizationAffiliation/vhdir-organizationrole-9990780047-2","MA Silver 70 PPO"
"vhdir-organizationrole-9994427431-0","OrganizationAffiliation/vhdir-organizationrole-9994427431-0","MA Bronze Plan PPO"
"vhdir-organizationrole-9994427431-1","OrganizationAffiliation/vhdir-organizationrole-9994427431-1","MA Bronze HSA HMO"
"vhdir-organizationrole-9994427431-2","OrganizationAffiliation/vhdir-organizationrole-9994427431-2","MA Silver 70 PPO"
"vhdir-organizationrole-9991396014-0","OrganizationAffiliation/vhdir-organizationrole-9991396014-0","MA Bronze Plan PPO"
"vhdir-organizationrole-9991396014-1","OrganizationAffiliation/vhdir-organizationrole-9991396014-1","MA Bronze HSA HMO"
"vhdir-organizationrole-9991396014-2","OrganizationAffiliation/vhdir-organizationrole-9991396014-2","MA Silver 70 PPO"
"vhdir-organizationrole-9991790820-0","OrganizationAffiliation/vhdir-organizationrole-9991790820-0","MA Bronze Plan PPO"
"vhdir-organizationrole-9991790820-1","OrganizationAffiliation/vhdir-organizationrole-9991790820-1","MA Bronze HSA HMO"
"vhdir-organizationrole-9991790820-2","OrganizationAffiliation/vhdir-organizationrole-9991790820-2","MA Silver 70 PPO"
"vhdir-organizationrole-9996245255-0","OrganizationAffiliation/vhdir-organizationrole-9996245255-0","MA Bronze Plan PPO"
"vhdir-organizationrole-9996245255-1","OrganizationAffiliation/vhdir-organizationrole-9996245255-1","MA Bronze HSA HMO"
"vhdir-organizationrole-9996245255-2","OrganizationAffiliation/vhdir-organizationrole-9996245255-2","MA Silver 70 PPO"
"vhdir-organizationrole-9998962430-0","OrganizationAffiliation/vhdir-organizationrole-9998962430-0","MA Bronze Plan PPO"
"vhdir-organizationrole-9998962430-1","OrganizationAffiliation/vhdir-organizationrole-9998962430-1","MA Bronze HSA HMO"
"vhdir-organizationrole-9998962430-2","OrganizationAffiliation/vhdir-organizationrole-9998962430-2","MA Silver 70 PPO"
"vhdir-organizationrole-9999972445-0","OrganizationAffiliation/vhdir-organizationrole-9999972445-0","MA Bronze Plan PPO"
"vhdir-organizationrole-9999972445-1","OrganizationAffiliation/vhdir-organizationrole-9999972445-1","MA Bronze HSA HMO"
"vhdir-organizationrole-9999972445-2","OrganizationAffiliation/vhdir-organizationrole-9999972445-2","MA Silver 70 PPO"
"vhdir-organizationrole-9997659264-0","OrganizationAffiliation/vhdir-organizationrole-9997659264-0","MA Bronze Plan PPO"
"vhdir-organizationrole-9997659264-1","OrganizationAffiliation/vhdir-organizationrole-9997659264-1","MA Bronze HSA HMO"
"vhdir-organizationrole-9997659264-2","OrganizationAffiliation/vhdir-organizationrole-9997659264-2","MA Silver 70 PPO"
"vhdir-organizationrole-9991892344-0","OrganizationAffiliation/vhdir-organizationrole-9991892344-0","MA Bronze Plan PPO"
"vhdir-organizationrole-9991892344-1","OrganizationAffiliation/vhdir-organizationrole-9991892344-1","MA Bronze HSA HMO"
"vhdir-organizationrole-9991892344-2","OrganizationAffiliation/vhdir-organizationrole-9991892344-2","MA Silver 70 PPO"
"vhdir-organizationrole-9995630533-0","OrganizationAffiliation/vhdir-organizationrole-9995630533-0","MA Bronze Plan PPO"
"vhdir-organizationrole-9995630533-1","OrganizationAffiliation/vhdir-organizationrole-9995630533-1","MA Bronze HSA HMO"
"vhdir-organizationrole-9995630533-2","OrganizationAffiliation/vhdir-organizationrole-9995630533-2","MA Silver 70 PPO"
"vhdir-organizationrole-9995731321-0","OrganizationAffiliation/vhdir-organizationrole-9995731321-0","RI Bronze Plan PPO"
"vhdir-organizationrole-9995731321-1","OrganizationAffiliation/vhdir-organizationrole-9995731321-1","RI Bronze HSA HMO"
"vhdir-organizationrole-9995731321-2","OrganizationAffiliation/vhdir-organizationrole-9995731321-2","RI Silver 70 PPO"
"vhdir-organizationrole-9992307530-0","OrganizationAffiliation/vhdir-organizationrole-9992307530-0","MA Bronze Plan PPO"
"vhdir-organizationrole-9992307530-1","OrganizationAffiliation/vhdir-organizationrole-9992307530-1","MA Bronze HSA HMO"
"vhdir-organizationrole-9992307530-2","OrganizationAffiliation/vhdir-organizationrole-9992307530-2","MA Silver 70 PPO"
"vhdir-organizationrole-9999670259-0","OrganizationAffiliation/vhdir-organizationrole-9999670259-0","MA Bronze Plan PPO"
"vhdir-organizationrole-9999670259-1","OrganizationAffiliation/vhdir-organizationrole-9999670259-1","MA Bronze HSA HMO"
"vhdir-organizationrole-9999670259-2","OrganizationAffiliation/vhdir-organizationrole-9999670259-2","MA Silver 70 PPO"
"vhdir-organizationrole-9998762106-0","OrganizationAffiliation/vhdir-organizationrole-9998762106-0","RI Bronze Plan PPO"
"vhdir-organizationrole-9998762106-1","OrganizationAffiliation/vhdir-organizationrole-9998762106-1","RI Bronze HSA HMO"
"vhdir-organizationrole-9998762106-2","OrganizationAffiliation/vhdir-organizationrole-9998762106-2","RI Silver 70 PPO"
"vhdir-organizationrole-9998863986-0","OrganizationAffiliation/vhdir-organizationrole-9998863986-0","MA Bronze Plan PPO"
"vhdir-organizationrole-9998863986-1","OrganizationAffiliation/vhdir-organizationrole-9998863986-1","MA Bronze HSA HMO"
"vhdir-organizationrole-9998863986-2","OrganizationAffiliation/vhdir-organizationrole-9998863986-2","MA Silver 70 PPO"
"vhdir-organizationrole-9995338232-0","OrganizationAffiliation/vhdir-organizationrole-9995338232-0","CT Bronze Plan PPO"
"vhdir-organizationrole-9995338232-1","OrganizationAffiliation/vhdir-organizationrole-9995338232-1","CT Bronze HSA HMO"
"vhdir-organizationrole-9995338232-2","OrganizationAffiliation/vhdir-organizationrole-9995338232-2","CT Silver 70 PPO"
"vhdir-organizationrole-9996348148-0","OrganizationAffiliation/vhdir-organizationrole-9996348148-0","CT Bronze Plan PPO"
"vhdir-organizationrole-9996348148-1","OrganizationAffiliation/vhdir-organizationrole-9996348148-1","CT Bronze HSA HMO"
"vhdir-organizationrole-9996348148-2","OrganizationAffiliation/vhdir-organizationrole-9996348148-2","CT Silver 70 PPO"
"vhdir-organizationrole-9990085657-0","OrganizationAffiliation/vhdir-organizationrole-9990085657-0","RI Bronze Plan PPO"
"vhdir-organizationrole-9990085657-1","OrganizationAffiliation/vhdir-organizationrole-9990085657-1","RI Bronze HSA HMO"
"vhdir-organizationrole-9990085657-2","OrganizationAffiliation/vhdir-organizationrole-9990085657-2","RI Silver 70 PPO"
"vhdir-organizationrole-9991095779-0","OrganizationAffiliation/vhdir-organizationrole-9991095779-0","MA Bronze Plan PPO"
"vhdir-organizationrole-9991095779-1","OrganizationAffiliation/vhdir-organizationrole-9991095779-1","MA Bronze HSA HMO"
"vhdir-organizationrole-9991095779-2","OrganizationAffiliation/vhdir-organizationrole-9991095779-2","MA Silver 70 PPO"
"vhdir-organizationrole-9994126865-0","OrganizationAffiliation/vhdir-organizationrole-9994126865-0","MA Bronze Plan PPO"
"vhdir-organizationrole-9994126865-1","OrganizationAffiliation/vhdir-organizationrole-9994126865-1","MA Bronze HSA HMO"
"vhdir-organizationrole-9994126865-2","OrganizationAffiliation/vhdir-organizationrole-9994126865-2","MA Silver 70 PPO"
"vhdir-organizationrole-9991692366-0","OrganizationAffiliation/vhdir-organizationrole-9991692366-0","MA Bronze Plan PPO"
"vhdir-organizationrole-9991692366-1","OrganizationAffiliation/vhdir-organizationrole-9991692366-1","MA Bronze HSA HMO"
"vhdir-organizationrole-9991692366-2","OrganizationAffiliation/vhdir-organizationrole-9991692366-2","MA Silver 70 PPO"
"vhdir-organizationrole-9999278250-0","OrganizationAffiliation/vhdir-organizationrole-9999278250-0","RI Bronze Plan PPO"
"vhdir-organizationrole-9999278250-1","OrganizationAffiliation/vhdir-organizationrole-9999278250-1","RI Bronze HSA HMO"
"vhdir-organizationrole-9999278250-2","OrganizationAffiliation/vhdir-organizationrole-9999278250-2","RI Silver 70 PPO"
"vhdir-organizationrole-9999177926-0","OrganizationAffiliation/vhdir-organizationrole-9999177926-0","CT Bronze Plan PPO"
"vhdir-organizationrole-9999177926-1","OrganizationAffiliation/vhdir-organizationrole-9999177926-1","CT Bronze HSA HMO"
"vhdir-organizationrole-9999177926-2","OrganizationAffiliation/vhdir-organizationrole-9999177926-2","CT Silver 70 PPO"
"vhdir-organizationrole-9998864828-0","OrganizationAffiliation/vhdir-organizationrole-9998864828-0","MA Bronze Plan PPO"
"vhdir-organizationrole-9998864828-1","OrganizationAffiliation/vhdir-organizationrole-9998864828-1","MA Bronze HSA HMO"
"vhdir-organizationrole-9998864828-2","OrganizationAffiliation/vhdir-organizationrole-9998864828-2","MA Silver 70 PPO"
"vhdir-organizationrole-9997955733-0","OrganizationAffiliation/vhdir-organizationrole-9997955733-0","RI Bronze Plan PPO"
"vhdir-organizationrole-9997955733-1","OrganizationAffiliation/vhdir-organizationrole-9997955733-1","RI Bronze HSA HMO"
"vhdir-organizationrole-9997955733-2","OrganizationAffiliation/vhdir-organizationrole-9997955733-2","RI Silver 70 PPO"
"vhdir-organizationrole-9993319368-0","OrganizationAffiliation/vhdir-organizationrole-9993319368-0","RI Bronze Plan PPO"
"vhdir-organizationrole-9993319368-1","OrganizationAffiliation/vhdir-organizationrole-9993319368-1","RI Bronze HSA HMO"
"vhdir-organizationrole-9993319368-2","OrganizationAffiliation/vhdir-organizationrole-9993319368-2","RI Silver 70 PPO"
