"NPI","Resource ID","Name","References List"
"vhdir-practitioner-9996643922-2","VerificationResult/vhdir-practitioner-9996643922-2",""
"vhdir-practitioner-9996643922-1","VerificationResult/vhdir-practitioner-9996643922-1","http://vhdir-demo.azurewebsites.net/fhir/Practitioner/vhdir-practitioner-9996643922/_history/3"
"vhdir-practitioner-9995633800-2","VerificationResult/vhdir-practitioner-9995633800-2",""
"vhdir-practitioner-9995633800-1","VerificationResult/vhdir-practitioner-9995633800-1","http://vhdir-demo.azurewebsites.net/fhir/Practitioner/vhdir-practitioner-9995633800/_history/3"
"vhdir-practitioner-9992406678-2","VerificationResult/vhdir-practitioner-9992406678-2",""
"vhdir-practitioner-9992406678-1","VerificationResult/vhdir-practitioner-9992406678-1","http://vhdir-demo.azurewebsites.net/fhir/Practitioner/vhdir-practitioner-9992406678/_history/3"
"vhdir-practitioner-9992209580-2","VerificationResult/vhdir-practitioner-9992209580-2",""
"vhdir-practitioner-9992209580-1","VerificationResult/vhdir-practitioner-9992209580-1","http://vhdir-demo.azurewebsites.net/fhir/Practitioner/vhdir-practitioner-9992209580/_history/3"
"vhdir-practitioner-9999971314-2","VerificationResult/vhdir-practitioner-9999971314-2",""
"vhdir-practitioner-9999971314-1","VerificationResult/vhdir-practitioner-9999971314-1","http://vhdir-demo.azurewebsites.net/fhir/Practitioner/vhdir-practitioner-9999971314/_history/3"
"vhdir-practitioner-9996047960-2","VerificationResult/vhdir-practitioner-9996047960-2",""
"vhdir-practitioner-9996047960-1","VerificationResult/vhdir-practitioner-9996047960-1","http://vhdir-demo.azurewebsites.net/fhir/Practitioner/vhdir-practitioner-9996047960/_history/3"
"vhdir-practitioner-9992901604-2","VerificationResult/vhdir-practitioner-9992901604-2",""
"vhdir-practitioner-9992901604-1","VerificationResult/vhdir-practitioner-9992901604-1","http://vhdir-demo.azurewebsites.net/fhir/Practitioner/vhdir-practitioner-9992901604/_history/3"
"vhdir-practitioner-9995138843-2","VerificationResult/vhdir-practitioner-9995138843-2",""
"vhdir-practitioner-9995138843-1","VerificationResult/vhdir-practitioner-9995138843-1","http://vhdir-demo.azurewebsites.net/fhir/Practitioner/vhdir-practitioner-9995138843/_history/3"
"vhdir-practitioner-9994325827-2","VerificationResult/vhdir-practitioner-9994325827-2",""
"vhdir-practitioner-9994325827-1","VerificationResult/vhdir-practitioner-9994325827-1","http://vhdir-demo.azurewebsites.net/fhir/Practitioner/vhdir-practitioner-9994325827/_history/3"
"vhdir-practitioner-9998269251-2","VerificationResult/vhdir-practitioner-9998269251-2",""
"vhdir-practitioner-9998269251-1","VerificationResult/vhdir-practitioner-9998269251-1","http://vhdir-demo.azurewebsites.net/fhir/Practitioner/vhdir-practitioner-9998269251/_history/3"
"vhdir-practitioner-9992108552-2","VerificationResult/vhdir-practitioner-9992108552-2",""
"vhdir-practitioner-9999072442-2","VerificationResult/vhdir-practitioner-9999072442-2",""
"vhdir-practitioner-9992108552-1","VerificationResult/vhdir-practitioner-9992108552-1","http://vhdir-demo.azurewebsites.net/fhir/Practitioner/vhdir-practitioner-9992108552/_history/3"
