"NPI","Resource ID","Name","References List"
"9992607537","HealthcareService/vhdir-administration-healthcareservice-9992607537","GREATER NEW BEDFORD COMMUNITY HEALTH CENTER, INC. Administration Service"
"9992607537","HealthcareService/vhdir-allergy-and-immunology-healthcareservice-9992607537","GREATER NEW BEDFORD COMMUNITY HEALTH CENTER, INC. Allergy And Immunology Service"
"9992607537","HealthcareService/vhdir-anesthesiology-healthcareservice-9992607537","GREATER NEW BEDFORD COMMUNITY HEALTH CENTER, INC. Anesthesiology Service"
"9992607537","HealthcareService/vhdir-audiology-healthcareservice-9992607537","GREATER NEW BEDFORD COMMUNITY HEALTH CENTER, INC. Audiology Service"
"9992607537","HealthcareService/vhdir-case-management-healthcareservice-9992607537","GREATER NEW BEDFORD COMMUNITY HEALTH CENTER, INC. Case Management Service"
"9992607537","HealthcareService/vhdir-chiroquackery-healthcareservice-9992607537","GREATER NEW BEDFORD COMMUNITY HEALTH CENTER, INC. Chiroquackery Service"
"9992607537","HealthcareService/vhdir-community-health-healthcareservice-9992607537","GREATER NEW BEDFORD COMMUNITY HEALTH CENTER, INC. Community Health Service"
"9992607537","HealthcareService/vhdir-continuing-education-healthcareservice-9992607537","GREATER NEW BEDFORD COMMUNITY HEALTH CENTER, INC. Continuing Education Service"
"9992607537","HealthcareService/vhdir-counseling-healthcareservice-9992607537","GREATER NEW BEDFORD COMMUNITY HEALTH CENTER, INC. Counseling Service"
"9992607537","HealthcareService/vhdir-dentistry-healthcareservice-9992607537","GREATER NEW BEDFORD COMMUNITY HEALTH CENTER, INC. Dentistry Service"
"9992607537","HealthcareService/vhdir-dermatology-healthcareservice-9992607537","GREATER NEW BEDFORD COMMUNITY HEALTH CENTER, INC. Dermatology Service"
"9992607537","HealthcareService/vhdir-emergency-medicine-healthcareservice-9992607537","GREATER NEW BEDFORD COMMUNITY HEALTH CENTER, INC. Emergency Medicine Service"
"9992607537","HealthcareService/vhdir-emergency-response-healthcareservice-9992607537","GREATER NEW BEDFORD COMMUNITY HEALTH CENTER, INC. Emergency Response Service"
"9992607537","HealthcareService/vhdir-family-health-healthcareservice-9992607537","GREATER NEW BEDFORD COMMUNITY HEALTH CENTER, INC. Family Health Service"
"9992607537","HealthcareService/vhdir-family-medicine-healthcareservice-9992607537","GREATER NEW BEDFORD COMMUNITY HEALTH CENTER, INC. Family Medicine Service"
"9992607537","HealthcareService/vhdir-general-practice-healthcareservice-9992607537","GREATER NEW BEDFORD COMMUNITY HEALTH CENTER, INC. General Practice Service"
"9992607537","HealthcareService/vhdir-genetics-healthcareservice-9992607537","GREATER NEW BEDFORD COMMUNITY HEALTH CENTER, INC. Genetics Service"
"9992607537","HealthcareService/vhdir-home-health-healthcareservice-9992607537","GREATER NEW BEDFORD COMMUNITY HEALTH CENTER, INC. Home Health Service"
"9992607537","HealthcareService/vhdir-hospice-healthcareservice-9992607537","GREATER NEW BEDFORD COMMUNITY HEALTH CENTER, INC. Hospice Service"
"9992607537","HealthcareService/vhdir-hospitalist-healthcareservice-9992607537","GREATER NEW BEDFORD COMMUNITY HEALTH CENTER, INC. Hospitalist Service"
"9992607537","HealthcareService/vhdir-immunology-healthcareservice-9992607537","GREATER NEW BEDFORD COMMUNITY HEALTH CENTER, INC. Immunology Service"
"9992607537","HealthcareService/vhdir-internal-medicine-healthcareservice-9992607537","GREATER NEW BEDFORD COMMUNITY HEALTH CENTER, INC. Internal Medicine Service"
"9992607537","HealthcareService/vhdir-internal-medicine--healthcareservice-9992607537","GREATER NEW BEDFORD COMMUNITY HEALTH CENTER, INC. Internal Medicine  Service"
"9992607537","HealthcareService/vhdir-medical-genetics-healthcareservice-9992607537","GREATER NEW BEDFORD COMMUNITY HEALTH CENTER, INC. Medical Genetics Service"
"9992607537","HealthcareService/vhdir-miscellaneous-healthcareservice-9992607537","GREATER NEW BEDFORD COMMUNITY HEALTH CENTER, INC. Miscellaneous Service"
"9992607537","HealthcareService/vhdir-neurological-surgery-healthcareservice-9992607537","GREATER NEW BEDFORD COMMUNITY HEALTH CENTER, INC. Neurological Surgery Service"
"9992607537","HealthcareService/vhdir-nuclear-medicine-healthcareservice-9992607537","GREATER NEW BEDFORD COMMUNITY HEALTH CENTER, INC. Nuclear Medicine Service"
"9992607537","HealthcareService/vhdir-nutrition-healthcareservice-9992607537","GREATER NEW BEDFORD COMMUNITY HEALTH CENTER, INC. Nutrition Service"
"9992607537","HealthcareService/vhdir-obstetrics-and-gynecology-healthcareservice-9992607537","GREATER NEW BEDFORD COMMUNITY HEALTH CENTER, INC. Obstetrics And Gynecology Service"
"9992607537","HealthcareService/vhdir-occupational-health-healthcareservice-9992607537","GREATER NEW BEDFORD COMMUNITY HEALTH CENTER, INC. Occupational Health Service"
"9992607537","HealthcareService/vhdir-ophthalmology-healthcareservice-9992607537","GREATER NEW BEDFORD COMMUNITY HEALTH CENTER, INC. Ophthalmology Service"
"9992607537","HealthcareService/vhdir-org-healthcareservice-9992607537","GREATER NEW BEDFORD COMMUNITY HEALTH CENTER, INC. Org Service"
"9992607537","HealthcareService/vhdir-orthopaedic-surgery-healthcareservice-9992607537","GREATER NEW BEDFORD COMMUNITY HEALTH CENTER, INC. Orthopaedic Surgery Service"
"9992607537","HealthcareService/vhdir-otolaryngology-healthcareservice-9992607537","GREATER NEW BEDFORD COMMUNITY HEALTH CENTER, INC. Otolaryngology Service"
"9992607537","HealthcareService/vhdir-pathology-healthcareservice-9992607537","GREATER NEW BEDFORD COMMUNITY HEALTH CENTER, INC. Pathology Service"
"9992607537","HealthcareService/vhdir-pediatrics-healthcareservice-9992607537","GREATER NEW BEDFORD COMMUNITY HEALTH CENTER, INC. Pediatrics Service"
"9992607537","HealthcareService/vhdir-pharmacy-healthcareservice-9992607537","GREATER NEW BEDFORD COMMUNITY HEALTH CENTER, INC. Pharmacy Service"
"9992607537","HealthcareService/vhdir-phlebotomy-healthcareservice-9992607537","GREATER NEW BEDFORD COMMUNITY HEALTH CENTER, INC. Phlebotomy Service"
"9992607537","HealthcareService/vhdir-physical-medicine-and-rehab-healthcareservice-9992607537","GREATER NEW BEDFORD COMMUNITY HEALTH CENTER, INC. Physical Medicine And Rehabilitation Service"
"9992607537","HealthcareService/vhdir-plastic-surgery-healthcareservice-9992607537","GREATER NEW BEDFORD COMMUNITY HEALTH CENTER, INC. Plastic Surgery Service"
"9992607537","HealthcareService/vhdir-podiatry-healthcareservice-9992607537","GREATER NEW BEDFORD COMMUNITY HEALTH CENTER, INC. Podiatry Service"
