"NPI","Resource ID","Name","References List"
"vhdir-organization-9992607537-direct","Endpoint/vhdir-organization-9992607537-direct","GREATER NEW BEDFORD COMMUNITY HEALTH CENTER, INC. Direct address"
"vhdir-organization-9995131442-direct","Endpoint/vhdir-organization-9995131442-direct","VASSAR HEALTH CONNECTICUT, INC. Direct address"
"vhdir-organization-9990789741-direct","Endpoint/vhdir-organization-9990789741-direct","EYE ASSOCIATES PC Direct address"
"vhdir-organization-9998062387-direct","Endpoint/vhdir-organization-9998062387-direct","DEUTSCHES ALTENHEIM INC. Direct address"
"vhdir-organization-9990780047-direct","Endpoint/vhdir-organization-9990780047-direct","HARRINGTON MEMORIAL HOSPITAL, INC. Direct address"
"vhdir-organization-9994427431-direct","Endpoint/vhdir-organization-9994427431-direct","ESSENT HEALTHCARE - AYER, INC. Direct address"
"vhdir-organization-9991396014-direct","Endpoint/vhdir-organization-9991396014-direct","ARC WORCESTER CENTER, L.P. Direct address"
"vhdir-organization-9991790820-direct","Endpoint/vhdir-organization-9991790820-direct","TRAVIS CORP Direct address"
"vhdir-organization-9996245255-direct","Endpoint/vhdir-organization-9996245255-direct","START INC Direct address"
"vhdir-organization-9998962430-direct","Endpoint/vhdir-organization-9998962430-direct","START INC Direct address"
"vhdir-organization-9999972445-direct","Endpoint/vhdir-organization-9999972445-direct","QUINCY MEDICAL CENTER Direct address"
"vhdir-organization-9997659264-direct","Endpoint/vhdir-organization-9997659264-direct","SPRINGFIELD REHABILITATION CENTER INC. Direct address"
"vhdir-organization-9991892344-direct","Endpoint/vhdir-organization-9991892344-direct","SEACOAST AFFILIATED GROUP PRACTICE, INC. Direct address"
"vhdir-organization-9995630533-direct","Endpoint/vhdir-organization-9995630533-direct","COMMUNITY HEALTH CONNECTIONS, INC. Direct address"
"vhdir-organization-9995731321-direct","Endpoint/vhdir-organization-9995731321-direct","CODAC INC Direct address"
"vhdir-organization-9992307530-direct","Endpoint/vhdir-organization-9992307530-direct","LOWELL COMMUNITY HEALTH CENTER, INC. Direct address"
"vhdir-organization-9999670259-direct","Endpoint/vhdir-organization-9999670259-direct","MOUNT AUBURN HOSPITAL Direct address"
"vhdir-organization-9998762106-direct","Endpoint/vhdir-organization-9998762106-direct","TOLLGATE SLEEP DISORDERS CENTER, INC. Direct address"
"vhdir-organization-9998863986-direct","Endpoint/vhdir-organization-9998863986-direct","CAMBRIDGE HEALTH ALLIANCE ELDER SERVICE PLAN Direct address"
"vhdir-organization-9995338232-direct","Endpoint/vhdir-organization-9995338232-direct","JOHNSON HEALTH CARE, INC. DBA JOHNSON SURGERY CENTER Direct address"
"vhdir-organization-9996348148-direct","Endpoint/vhdir-organization-9996348148-direct","FARMINGTON SURGERY CENTER LLC Direct address"
"vhdir-organization-9990085657-direct","Endpoint/vhdir-organization-9990085657-direct","BAYSIDE ENDOSCOPY, LLC Direct address"
"vhdir-organization-9991095779-direct","Endpoint/vhdir-organization-9991095779-direct","PLANNED PARENTHOOD LEAGUE OF MASSACHUSETTS, INC. Direct address"
"vhdir-organization-9994126865-direct","Endpoint/vhdir-organization-9994126865-direct","BAY STATE COMMUNITY SERVICES, INC. Direct address"
"vhdir-organization-9991692366-direct","Endpoint/vhdir-organization-9991692366-direct","HARBOR HEALTH SERVICES, INC. Direct address"
"vhdir-organization-9999278250-direct","Endpoint/vhdir-organization-9999278250-direct","ROGER WILLIAMS MEDICAL CENTER Direct address"
"vhdir-organization-9999177926-direct","Endpoint/vhdir-organization-9999177926-direct","EASTER SEALS CAPITAL REGION & EASTERN CONNECTICUT, INC. Direct address"
"vhdir-organization-9998864828-direct","Endpoint/vhdir-organization-9998864828-direct","FAMILY MEDICINE ASSOCIATES P. C. Direct address"
"vhdir-organization-9997955733-direct","Endpoint/vhdir-organization-9997955733-direct","DISCOVERY HOUSE UTAH Direct address"
"vhdir-organization-9993319368-direct","Endpoint/vhdir-organization-9993319368-direct","RHODE ISLAND SUBSTANCE ABUSE TREATMENT, INC. Direct address"
"vhdir-organization-9995935572-direct","Endpoint/vhdir-organization-9995935572-direct","JOHN C BREEN PC Direct address"
"vhdir-organization-9994521488-direct","Endpoint/vhdir-organization-9994521488-direct","RHODE ISLAND SUBSTANCE ABUSE TREATMENT INC Direct address"
"vhdir-organization-9994723478-direct","Endpoint/vhdir-organization-9994723478-direct","PHYSICAL THERAPY CENTER, INC Direct address"
"vhdir-organization-9992006923-direct","Endpoint/vhdir-organization-9992006923-direct","LIFEBRIDGE COMMUNITY SERVICES, INC. Direct address"
"vhdir-organization-9990188327-direct","Endpoint/vhdir-organization-9990188327-direct","SOUNDVIEW ORTHOPAEDIC ASSOC. LLP Direct address"
"vhdir-organization-9996441719-direct","Endpoint/vhdir-organization-9996441719-direct","COMPREHENSIVE COMMUNITY ACTION, INC. Direct address"
"vhdir-organization-9997552602-direct","Endpoint/vhdir-organization-9997552602-direct","ESSENT HEALTH CARE OF MASS INC Direct address"
"vhdir-organization-9999774646-direct","Endpoint/vhdir-organization-9999774646-direct","GREATER LAWRENCE FAMILY HEALTH CENTER, INC. Direct address"
"vhdir-organization-9998269624-direct","Endpoint/vhdir-organization-9998269624-direct","HOSPITAL OF SAINT RAPHAEL Direct address"
"vhdir-organization-9996643294-direct","Endpoint/vhdir-organization-9996643294-direct","KENT COUNTY MEMORIAL HOSPITAL Direct address"
"vhdir-practitionerrole-9995334207-0-direct","Endpoint/vhdir-practitionerrole-9995334207-0-direct","Direct address for Ernesto Valencia Allopathic and Osteopathic Physicians Role"
"vhdir-practitionerrole-9995334207-1-direct","Endpoint/vhdir-practitionerrole-9995334207-1-direct","Direct address for Ernesto Valencia Network Member Role"
