"NPI","Resource ID","Name","References List"
"9992607537","OrganizationAffiliation/vhdir-organizationaffiliation-9992607537-0","GREATER NEW BEDFORD COMMUNITY HEALTH CENTER, INC. Network Member","HPID010000"
"9992607537","OrganizationAffiliation/vhdir-organizationaffiliation-9992607537-1","GREATER NEW BEDFORD COMMUNITY HEALTH CENTER, INC. Network Member","HPID020000"
"9992607537","OrganizationAffiliation/vhdir-organizationaffiliation-9992607537-2","GREATER NEW BEDFORD COMMUNITY HEALTH CENTER, INC. Network Member","HPID030000"
"9995131442","OrganizationAffiliation/vhdir-organizationaffiliation-9995131442-0","VASSAR HEALTH CONNECTICUT, INC. Network Member","HPID040000"
"9995131442","OrganizationAffiliation/vhdir-organizationaffiliation-9995131442-1","VASSAR HEALTH CONNECTICUT, INC. Network Member","HPID050000"
"9995131442","OrganizationAffiliation/vhdir-organizationaffiliation-9995131442-2","VASSAR HEALTH CONNECTICUT, INC. Network Member","HPID060000"
"9990789741","OrganizationAffiliation/vhdir-organizationaffiliation-9990789741-0","EYE ASSOCIATES PC Network Member","HPID010000"
"9990789741","OrganizationAffiliation/vhdir-organizationaffiliation-9990789741-1","EYE ASSOCIATES PC Network Member","HPID020000"
"9990789741","OrganizationAffiliation/vhdir-organizationaffiliation-9990789741-2","EYE ASSOCIATES PC Network Member","HPID030000"
"9998062387","OrganizationAffiliation/vhdir-organizationaffiliation-9998062387-0","DEUTSCHES ALTENHEIM INC. Network Member","HPID010000"
"9998062387","OrganizationAffiliation/vhdir-organizationaffiliation-9998062387-1","DEUTSCHES ALTENHEIM INC. Network Member","HPID020000"
"9998062387","OrganizationAffiliation/vhdir-organizationaffiliation-9998062387-2","DEUTSCHES ALTENHEIM INC. Network Member","HPID030000"
"9990780047","OrganizationAffiliation/vhdir-organizationaffiliation-9990780047-0","HARRINGTON MEMORIAL HOSPITAL, INC. Network Member","HPID010000"
"9990780047","OrganizationAffiliation/vhdir-organizationaffiliation-9990780047-1","HARRINGTON MEMORIAL HOSPITAL, INC. Network Member","HPID020000"
"9990780047","OrganizationAffiliation/vhdir-organizationaffiliation-9990780047-2","HARRINGTON MEMORIAL HOSPITAL, INC. Network Member","HPID030000"
"9994427431","OrganizationAffiliation/vhdir-organizationaffiliation-9994427431-0","ESSENT HEALTHCARE - AYER, INC. Network Member","HPID010000"
"9994427431","OrganizationAffiliation/vhdir-organizationaffiliation-9994427431-1","ESSENT HEALTHCARE - AYER, INC. Network Member","HPID020000"
"9994427431","OrganizationAffiliation/vhdir-organizationaffiliation-9994427431-2","ESSENT HEALTHCARE - AYER, INC. Network Member","HPID030000"
"9991396014","OrganizationAffiliation/vhdir-organizationaffiliation-9991396014-0","ARC WORCESTER CENTER, L.P. Network Member","HPID010000"
"9991396014","OrganizationAffiliation/vhdir-organizationaffiliation-9991396014-1","ARC WORCESTER CENTER, L.P. Network Member","HPID020000"
"9991396014","OrganizationAffiliation/vhdir-organizationaffiliation-9991396014-2","ARC WORCESTER CENTER, L.P. Network Member","HPID030000"
"9991790820","OrganizationAffiliation/vhdir-organizationaffiliation-9991790820-0","TRAVIS CORP Network Member","HPID010000"
"9991790820","OrganizationAffiliation/vhdir-organizationaffiliation-9991790820-1","TRAVIS CORP Network Member","HPID020000"
"9991790820","OrganizationAffiliation/vhdir-organizationaffiliation-9991790820-2","TRAVIS CORP Network Member","HPID030000"
"9996245255","OrganizationAffiliation/vhdir-organizationaffiliation-9996245255-0","START INC Network Member","HPID010000"
"9996245255","OrganizationAffiliation/vhdir-organizationaffiliation-9996245255-1","START INC Network Member","HPID020000"
"9996245255","OrganizationAffiliation/vhdir-organizationaffiliation-9996245255-2","START INC Network Member","HPID030000"
"9998962430","OrganizationAffiliation/vhdir-organizationaffiliation-9998962430-0","START INC Network Member","HPID010000"
"9998962430","OrganizationAffiliation/vhdir-organizationaffiliation-9998962430-1","START INC Network Member","HPID020000"
"9998962430","OrganizationAffiliation/vhdir-organizationaffiliation-9998962430-2","START INC Network Member","HPID030000"
"9999972445","OrganizationAffiliation/vhdir-organizationaffiliation-9999972445-0","QUINCY MEDICAL CENTER Network Member","HPID010000"
"9999972445","OrganizationAffiliation/vhdir-organizationaffiliation-9999972445-1","QUINCY MEDICAL CENTER Network Member","HPID020000"
